myFiles,.cluster
0001.png,Cluster_1
0002.png,Cluster_1
0003.png,Cluster_2
0004.png,Cluster_1
0005.png,Cluster_1
0006.png,Cluster_3
0007.png,Cluster_4
0008.png,Cluster_1
0009.png,Cluster_5
0010.png,Cluster_1
0011.png,Cluster_4
0012.png,Cluster_1
0013.png,Cluster_1
0014.png,Cluster_1
0015.png,Cluster_2
0016.png,Cluster_3
0017.png,Cluster_1
0018.png,Cluster_1
0019.png,Cluster_4
0020.png,Cluster_4
0021.png,Cluster_2
0022.png,Cluster_6
0023.png,Cluster_1
0024.png,Cluster_2
0025.png,Cluster_4
0026.png,Cluster_7
0027.png,Cluster_2
0028.png,Cluster_4
0029.png,Cluster_7
0030.png,Cluster_7
0031.png,Cluster_8
0032.png,Cluster_7
0033.png,Cluster_4
0034.png,Cluster_4
0035.png,Cluster_9
0036.png,Cluster_5
0037.png,Cluster_4
0038.png,Cluster_8
0039.png,Cluster_2
0040.png,Cluster_3
0041.png,Cluster_8
0042.png,Cluster_3
0043.png,Cluster_1
0044.png,Cluster_1
0045.png,Cluster_3
0046.png,Cluster_6
0047.png,Cluster_2
0048.png,Cluster_8
0049.png,Cluster_5
0050.png,Cluster_3
0051.png,Cluster_8
0052.png,Cluster_6
0053.png,Cluster_1
0054.png,Cluster_8
0055.png,Cluster_1
0056.png,Cluster_7
0057.png,Cluster_10
0058.png,Cluster_1
0059.png,Cluster_4
0060.png,Cluster_5
0061.png,Cluster_2
0062.png,Cluster_3
0063.png,Cluster_1
0064.png,Cluster_1
0065.png,Cluster_3
0066.png,Cluster_10
0067.png,Cluster_7
0068.png,Cluster_5
0069.png,Cluster_7
0070.png,Cluster_6
0071.png,Cluster_4
0072.png,Cluster_1
0073.png,Cluster_8
0074.png,Cluster_3
0075.png,Cluster_4
0076.png,Cluster_1
0077.png,Cluster_7
0078.png,Cluster_4
0079.png,Cluster_5
0080.png,Cluster_9
0081.png,Cluster_3
0082.png,Cluster_6
0083.png,Cluster_9
0084.png,Cluster_8
0085.png,Cluster_5
0086.png,Cluster_10
0087.png,Cluster_2
0088.png,Cluster_6
0089.png,Cluster_7
0090.png,Cluster_6
0091.png,Cluster_1
0092.png,Cluster_3
0093.png,Cluster_10
0094.png,Cluster_2
0095.png,Cluster_3
0096.png,Cluster_4
0097.png,Cluster_1
0098.png,Cluster_8
0099.png,Cluster_5
0100.png,Cluster_8
0101.png,Cluster_3
0102.png,Cluster_2
0103.png,Cluster_6
0104.png,Cluster_10
0105.png,Cluster_8
0106.png,Cluster_2
0107.png,Cluster_5
0108.png,Cluster_4
0109.png,Cluster_5
0110.png,Cluster_1
0111.png,Cluster_4
0112.png,Cluster_6
0113.png,Cluster_2
0114.png,Cluster_8
0115.png,Cluster_10
0116.png,Cluster_1
0117.png,Cluster_5
0118.png,Cluster_7
0119.png,Cluster_3
0120.png,Cluster_1
0121.png,Cluster_10
0122.png,Cluster_2
0123.png,Cluster_6
0124.png,Cluster_10
0125.png,Cluster_3
0126.png,Cluster_8
0127.png,Cluster_2
0128.png,Cluster_1
0129.png,Cluster_5
0130.png,Cluster_7
0131.png,Cluster_4
0132.png,Cluster_2
0133.png,Cluster_3
0134.png,Cluster_6
0135.png,Cluster_6
0136.png,Cluster_5
0137.png,Cluster_1
0138.png,Cluster_7
0139.png,Cluster_2
0140.png,Cluster_6
0141.png,Cluster_8
0142.png,Cluster_6
0143.png,Cluster_1
0144.png,Cluster_4
0145.png,Cluster_2
0146.png,Cluster_2
0147.png,Cluster_1
0148.png,Cluster_6
0149.png,Cluster_3
0150.png,Cluster_8
0151.png,Cluster_2
0152.png,Cluster_6
0153.png,Cluster_1
0154.png,Cluster_4
0155.png,Cluster_8
0156.png,Cluster_8
0157.png,Cluster_3
0158.png,Cluster_4
0159.png,Cluster_3
0160.png,Cluster_1
0161.png,Cluster_4
0162.png,Cluster_8
0163.png,Cluster_3
0164.png,Cluster_2
0165.png,Cluster_5
0166.png,Cluster_2
0167.png,Cluster_1
0168.png,Cluster_8
0169.png,Cluster_8
0170.png,Cluster_4
0171.png,Cluster_8
0172.png,Cluster_3
0173.png,Cluster_8
0174.png,Cluster_8
0175.png,Cluster_5
0176.png,Cluster_10
0177.png,Cluster_3
0178.png,Cluster_6
0179.png,Cluster_2
0180.png,Cluster_2
0181.png,Cluster_1
0182.png,Cluster_4
0183.png,Cluster_5
0184.png,Cluster_7
0185.png,Cluster_1
0186.png,Cluster_1
0187.png,Cluster_7
0188.png,Cluster_5
0189.png,Cluster_9
0190.png,Cluster_2
0191.png,Cluster_6
0192.png,Cluster_2
0193.png,Cluster_3
0194.png,Cluster_4
0195.png,Cluster_5
0196.png,Cluster_9
0197.png,Cluster_7
0198.png,Cluster_10
0199.png,Cluster_7
0200.png,Cluster_6
0201.png,Cluster_3
0202.png,Cluster_8
0203.png,Cluster_4
0204.png,Cluster_8
0205.png,Cluster_6
0206.png,Cluster_7
0207.png,Cluster_1
0208.png,Cluster_6
0209.png,Cluster_7
0210.png,Cluster_3
